last_name,first_name,Title,State,district,years_served,link
Kelly,Robin,Representative,Illinois,2nd,2013-2018,https://www.govtrack.us/congress/members/robin_kelly/412595
Kelly,Trent,Representative,Mississippi,1st,2015-2018,https://www.govtrack.us/congress/members/trent_kelly/412673
Kennedy,John,Senator,Louisiana,0,2017-2022,https://www.govtrack.us/congress/members/john_kennedy/412679
Kennedy,Joseph,Representative,Massachusetts,4th,2013-2018,https://www.govtrack.us/congress/members/joseph_kennedy/412543
Khanna,Ro,Representative,California,17th,2017-2018,https://www.govtrack.us/congress/members/ro_khanna/412684
Kihuen,Ruben,Representative,Nevada,4th,2017-2018,https://www.govtrack.us/congress/members/ruben_kihuen/412716
Kildee,Daniel,Representative,Michigan,5th,2013-2018,https://www.govtrack.us/congress/members/daniel_kildee/412546
Kilmer,Derek,Representative,Washington,6th,2013-2018,https://www.govtrack.us/congress/members/derek_kilmer/412583
Kind,Ron,Representative,Wisconsin,3rd,1997-2018,https://www.govtrack.us/congress/members/ron_kind/400218
King,Angus,Senator,Maine,0,2013-2018,https://www.govtrack.us/congress/members/angus_king/412545
King,Peter “Pete”,Representative,New York,2nd,2013-2018,https://www.govtrack.us/congress/members/peter_king/400219
King,Steve,Representative,Iowa,4th,2013-2018,https://www.govtrack.us/congress/members/steve_king/400220
Kinzinger,Adam,Representative,Illinois,16th,2013-2018,https://www.govtrack.us/congress/members/adam_kinzinger/412421
Klobuchar,Amy,Senator,Minnesota,0,2007-2018,https://www.govtrack.us/congress/members/amy_klobuchar/412242
Knight,Steve,Representative,California,25th,2015-2018,https://www.govtrack.us/congress/members/steve_knight/412614
Krishnamoorthi,Raja,Representative,Illinois,8th,2017-2018,https://www.govtrack.us/congress/members/raja_krishnamoorthi/412701
Kuster,Ann,Representative,New Hampshire,2nd,2013-2018,https://www.govtrack.us/congress/members/ann_kuster/412557
Kustoff,David,Representative,Tennessee,8th,2017-2018,https://www.govtrack.us/congress/members/david_kustoff/412724
LaHood,Darin,Representative,Illinois,18th,2015-2018,https://www.govtrack.us/congress/members/darin_lahood/412674
LaMalfa,Doug,Representative,California,1st,2013-2018,https://www.govtrack.us/congress/members/doug_lamalfa/412510
Labrador,Raúl,Representative,Idaho,1st,2011-2018,https://www.govtrack.us/congress/members/raul_labrador/412419
Lamborn,Doug,Representative,Colorado,5th,2007-2018,https://www.govtrack.us/congress/members/doug_lamborn/412191
Lance,Leonard,Representative,New Jersey,7th,2009-2018,https://www.govtrack.us/congress/members/leonard_lance/412290
Langevin,James “Jim”,Representative,Rhode Island,2nd,2001-2018,https://www.govtrack.us/congress/members/james_langevin/400230
Lankford,James,Senator,Oklahoma,0,2015-2022,https://www.govtrack.us/congress/members/james_lankford/412464
Larsen,Rick,Representative,Washington,2nd,2001-2018,https://www.govtrack.us/congress/members/rick_larsen/400232
Larson,John,Representative,Connecticut,1st,1999-2018,https://www.govtrack.us/congress/members/john_larson/400233
Latta,Robert,Representative,Ohio,5th,2007-2018,https://www.govtrack.us/congress/members/robert_latta/412256
Lawrence,Brenda,Representative,Michigan,14th,2015-2018,https://www.govtrack.us/congress/members/brenda_lawrence/412638
Lawson,Al,Representative,Florida,5th,2017-2018,https://www.govtrack.us/congress/members/al_lawson/412693
Leahy,Patrick,Senator,Vermont,0,1975-2022,https://www.govtrack.us/congress/members/patrick_leahy/300065
Lee,Barbara,Representative,California,13th,2013-2018,https://www.govtrack.us/congress/members/barbara_lee/400237
Lee,Mike,Senator,Utah,0,2011-2022,https://www.govtrack.us/congress/members/mike_lee/412495
Levin,Sander,Representative,Michigan,9th,2013-2018,https://www.govtrack.us/congress/members/sander_levin/400238
Lewis,Jason,Representative,Minnesota,2nd,2017-2018,https://www.govtrack.us/congress/members/jason_lewis/412711
Lewis,John,Representative,Georgia,5th,1987-2018,https://www.govtrack.us/congress/members/john_lewis/400240
Lieu,Ted,Representative,California,33rd,2015-2018,https://www.govtrack.us/congress/members/ted_lieu/412616
Lipinski,Daniel,Representative,Illinois,3rd,2005-2018,https://www.govtrack.us/congress/members/daniel_lipinski/400630
LoBiondo,Frank,Representative,New Jersey,2nd,1995-2018,https://www.govtrack.us/congress/members/frank_lobiondo/400244
Loebsack,David,Representative,Iowa,2nd,2007-2018,https://www.govtrack.us/congress/members/david_loebsack/412209
Lofgren,Zoe,Representative,California,19th,2013-2018,https://www.govtrack.us/congress/members/zoe_lofgren/400245
Long,Billy,Representative,Missouri,7th,2011-2018,https://www.govtrack.us/congress/members/billy_long/412445
Loudermilk,Barry,Representative,Georgia,11th,2015-2018,https://www.govtrack.us/congress/members/barry_loudermilk/412624
Love,Mia,Representative,Utah,4th,2015-2018,https://www.govtrack.us/congress/members/mia_love/412656
Lowenthal,Alan,Representative,California,47th,2013-2018,https://www.govtrack.us/congress/members/alan_lowenthal/412521
Lowey,Nita,Representative,New York,17th,2013-2018,https://www.govtrack.us/congress/members/nita_lowey/400246
Lucas,Frank,Representative,Oklahoma,3rd,2003-2018,https://www.govtrack.us/congress/members/frank_lucas/400247
Luetkemeyer,Blaine,Representative,Missouri,3rd,2013-2018,https://www.govtrack.us/congress/members/blaine_luetkemeyer/412292
Lujan Grisham,Michelle,Representative,New Mexico,1st,2013-2018,https://www.govtrack.us/congress/members/michelle_lujan_grisham/412558
Luján,Ben,Representative,New Mexico,3rd,2009-2018,https://www.govtrack.us/congress/members/ben_lujan/412293
Lynch,Stephen,Representative,Massachusetts,8th,2013-2018,https://www.govtrack.us/congress/members/stephen_lynch/400249
MacArthur,Tom,Representative,New Jersey,3rd,2015-2018,https://www.govtrack.us/congress/members/tom_macarthur/412643
Maloney,Carolyn,Representative,New York,12th,2013-2018,https://www.govtrack.us/congress/members/carolyn_maloney/400251
Maloney,Sean,Representative,New York,18th,2013-2018,https://www.govtrack.us/congress/members/sean_maloney/412562
Manchin,Joe,Senator,West Virginia,0,2010-2018,https://www.govtrack.us/congress/members/joe_manchin/412391
Marchant,Kenny,Representative,Texas,24th,2005-2018,https://www.govtrack.us/congress/members/kenny_marchant/400656
Marino,Tom,Representative,Pennsylvania,10th,2011-2018,https://www.govtrack.us/congress/members/tom_marino/412468
Markey,Edward “Ed”,Senator,Massachusetts,0,2013-2020,https://www.govtrack.us/congress/members/edward_markey/400253
Marshall,Roger,Representative,Kansas,1st,2017-2018,https://www.govtrack.us/congress/members/roger_marshall/412704
Massie,Thomas,Representative,Kentucky,4th,2012-2018,https://www.govtrack.us/congress/members/thomas_massie/412503
Mast,Brian,Representative,Florida,18th,2017-2018,https://www.govtrack.us/congress/members/brian_mast/412698
Matsui,Doris,Representative,California,6th,2013-2018,https://www.govtrack.us/congress/members/doris_matsui/400663
McCain,John,Senator,Arizona,0,1987-2022,https://www.govtrack.us/congress/members/john_mccain/300071
McCarthy,Kevin,Representative,California,23rd,2013-2018,https://www.govtrack.us/congress/members/kevin_mccarthy/412190
McCaskill,Claire,Senator,Missouri,0,2007-2018,https://www.govtrack.us/congress/members/claire_mccaskill/412243
McCaul,Michael,Representative,Texas,10th,2005-2018,https://www.govtrack.us/congress/members/michael_mccaul/400654
McClintock,Tom,Representative,California,4th,2009-2018,https://www.govtrack.us/congress/members/tom_mcclintock/412295
McCollum,Betty,Representative,Minnesota,4th,2001-2018,https://www.govtrack.us/congress/members/betty_mccollum/400259
McConnell,Mitch,Senator,Kentucky,0,1985-2020,https://www.govtrack.us/congress/members/mitch_mcconnell/300072
McEachin,Donald,Representative,Virginia,4th,2017-2018,https://www.govtrack.us/congress/members/donald_mceachin/412728
McGovern,James “Jim”,Representative,Massachusetts,2nd,2013-2018,https://www.govtrack.us/congress/members/james_mcgovern/400263
McHenry,Patrick,Representative,North Carolina,10th,2005-2018,https://www.govtrack.us/congress/members/patrick_mchenry/400644
McKinley,David,Representative,West Virginia,1st,2011-2018,https://www.govtrack.us/congress/members/david_mckinley/412487
McMorris Rodgers,Cathy,Representative,Washington,5th,2005-2018,https://www.govtrack.us/congress/members/cathy_mcmorris_rodgers/400659
McNerney,Jerry,Representative,California,9th,2013-2018,https://www.govtrack.us/congress/members/jerry_mcnerney/412189
McSally,Martha,Representative,Arizona,2nd,2015-2018,https://www.govtrack.us/congress/members/martha_mcsally/412611
Meadows,Mark,Representative,North Carolina,11th,2013-2018,https://www.govtrack.us/congress/members/mark_meadows/412552
Meehan,Patrick,Representative,Pennsylvania,7th,2011-2018,https://www.govtrack.us/congress/members/patrick_meehan/412466
Meeks,Gregory,Representative,New York,5th,2013-2018,https://www.govtrack.us/congress/members/gregory_meeks/400271
Meng,Grace,Representative,New York,6th,2013-2018,https://www.govtrack.us/congress/members/grace_meng/412560
Menéndez,Robert “Bob”,Senator,New Jersey,0,2006-2018,https://www.govtrack.us/congress/members/robert_menendez/400272
Merkley,Jeff,Senator,Oregon,0,2009-2020,https://www.govtrack.us/congress/members/jeff_merkley/412325
Messer,Luke,Representative,Indiana,6th,2013-2018,https://www.govtrack.us/congress/members/luke_messer/412540
Mitchell,Paul,Representative,Michigan,10th,2017-2018,https://www.govtrack.us/congress/members/paul_mitchell/412710
Moolenaar,John,Representative,Michigan,4th,2015-2018,https://www.govtrack.us/congress/members/john_moolenaar/412634
Mooney,Alex,Representative,West Virginia,2nd,2015-2018,https://www.govtrack.us/congress/members/alex_mooney/412662
Moore,Gwen,Representative,Wisconsin,4th,2005-2018,https://www.govtrack.us/congress/members/gwen_moore/400661
Moran,Jerry,Senator,Kansas,0,2011-2022,https://www.govtrack.us/congress/members/jerry_moran/400284
Moulton,Seth,Representative,Massachusetts,6th,2015-2018,https://www.govtrack.us/congress/members/seth_moulton/412632
Mullin,Markwayne,Representative,Oklahoma,2nd,2013-2018,https://www.govtrack.us/congress/members/markwayne_mullin/412568
Murkowski,Lisa,Senator,Alaska,0,2003-2022,https://www.govtrack.us/congress/members/lisa_murkowski/300075
Murphy,Christopher,Senator,Connecticut,0,2013-2018,https://www.govtrack.us/congress/members/christopher_murphy/412194
Murphy,Stephanie,Representative,Florida,7th,2017-2018,https://www.govtrack.us/congress/members/stephanie_murphy/412694
Murray,Patty,Senator,Washington,0,1993-2022,https://www.govtrack.us/congress/members/patty_murray/300076
Nadler,Jerrold,Representative,New York,10th,2013-2018,https://www.govtrack.us/congress/members/jerrold_nadler/400289
Napolitano,Grace,Representative,California,32nd,2013-2018,https://www.govtrack.us/congress/members/grace_napolitano/400290
Neal,Richard,Representative,Massachusetts,1st,2013-2018,https://www.govtrack.us/congress/members/richard_neal/400291
Nelson,Bill,Senator,Florida,0,2001-2018,https://www.govtrack.us/congress/members/bill_nelson/300078
Newhouse,Dan,Representative,Washington,4th,2015-2018,https://www.govtrack.us/congress/members/dan_newhouse/412660
Noem,Kristi,Representative,South Dakota,0,2011-2018,https://www.govtrack.us/congress/members/kristi_noem/412475
Nolan,Richard,Representative,Minnesota,8th,2013-2018,https://www.govtrack.us/congress/members/richard_nolan/408211
Norcross,Donald,Representative,New Jersey,1st,2014-2018,https://www.govtrack.us/congress/members/donald_norcross/412606
Norman,Ralph,Representative,South Carolina,5th,2017-2018,https://www.govtrack.us/congress/members/ralph_norman/412738
Norton,Eleanor,Senator,the District of Columbia,0,1991-2018,https://www.govtrack.us/congress/members/eleanor_norton/400295
Nunes,Devin,Representative,California,22nd,2013-2018,https://www.govtrack.us/congress/members/devin_nunes/400297
Olson,Pete,Representative,Texas,22nd,2009-2018,https://www.govtrack.us/congress/members/pete_olson/412302
O’Halleran,Tom,Representative,Arizona,1st,2017-2018,https://www.govtrack.us/congress/members/tom_ohalleran/412682
O’Rourke,Beto,Representative,Texas,16th,2013-2018,https://www.govtrack.us/congress/members/beto_orourke/412575
Palazzo,Steven,Representative,Mississippi,4th,2011-2018,https://www.govtrack.us/congress/members/steven_palazzo/412443
Pallone,Frank,Representative,New Jersey,6th,1993-2018,https://www.govtrack.us/congress/members/frank_pallone/400308
Palmer,Gary,Representative,Alabama,6th,2015-2018,https://www.govtrack.us/congress/members/gary_palmer/412608
Panetta,Jimmy,Representative,California,20th,2017-2018,https://www.govtrack.us/congress/members/jimmy_panetta/412685
Pascrell,Bill,Representative,New Jersey,9th,2013-2018,https://www.govtrack.us/congress/members/bill_pascrell/400309
Paul,Rand,Senator,Kentucky,0,2011-2022,https://www.govtrack.us/congress/members/rand_paul/412492
Paulsen,Erik,Representative,Minnesota,3rd,2009-2018,https://www.govtrack.us/congress/members/erik_paulsen/412303
Payne,Donald,Representative,New Jersey,10th,2012-2018,https://www.govtrack.us/congress/members/donald_payne/412506
Pearce,Stevan “Steve”,Representative,New Mexico,2nd,2011-2018,https://www.govtrack.us/congress/members/stevan_pearce/400313
Pelosi,Nancy,Representative,California,12th,2013-2018,https://www.govtrack.us/congress/members/nancy_pelosi/400314
Perdue,David,Senator,Georgia,0,2015-2020,https://www.govtrack.us/congress/members/david_perdue/412666
Perlmutter,Ed,Representative,Colorado,7th,2007-2018,https://www.govtrack.us/congress/members/ed_perlmutter/412192
Perry,Scott,Representative,Pennsylvania,4th,2013-2018,https://www.govtrack.us/congress/members/scott_perry/412569
Peters,Gary,Senator,Michigan,0,2015-2020,https://www.govtrack.us/congress/members/gary_peters/412305
Peters,Scott,Representative,California,52nd,2013-2018,https://www.govtrack.us/congress/members/scott_peters/412523
Peterson,Collin,Representative,Minnesota,7th,1991-2018,https://www.govtrack.us/congress/members/collin_peterson/400316
Pingree,Chellie,Representative,Maine,1st,2009-2018,https://www.govtrack.us/congress/members/chellie_pingree/412307
Pittenger,Robert,Representative,North Carolina,9th,2013-2018,https://www.govtrack.us/congress/members/robert_pittenger/412551
Plaskett,Stacey,Senator,the Virgin Islands,0,2015-2018,https://www.govtrack.us/congress/members/stacey_plaskett/412659
Pocan,Mark,Representative,Wisconsin,2nd,2013-2018,https://www.govtrack.us/congress/members/mark_pocan/412585
Poe,Ted,Representative,Texas,2nd,2005-2018,https://www.govtrack.us/congress/members/ted_poe/400652
Poliquin,Bruce,Representative,Maine,2nd,2015-2018,https://www.govtrack.us/congress/members/bruce_poliquin/412633
Polis,Jared,Representative,Colorado,2nd,2009-2018,https://www.govtrack.us/congress/members/jared_polis/412308
Portman,Robert “Rob”,Senator,Ohio,0,2011-2022,https://www.govtrack.us/congress/members/robert_portman/400325
Posey,Bill,Representative,Florida,8th,2013-2018,https://www.govtrack.us/congress/members/bill_posey/412309
Price,David,Representative,North Carolina,4th,1997-2018,https://www.govtrack.us/congress/members/david_price/400326
Quigley,Mike,Representative,Illinois,5th,2009-2018,https://www.govtrack.us/congress/members/mike_quigley/412331
Raskin,Jamie,Representative,Maryland,8th,2017-2018,https://www.govtrack.us/congress/members/jamie_raskin/412708
Ratcliffe,John,Representative,Texas,4th,2015-2018,https://www.govtrack.us/congress/members/john_ratcliffe/412653
Reed,John “Jack”,Senator,Rhode Island,0,1997-2020,https://www.govtrack.us/congress/members/john_reed/300081
Reed,Tom,Representative,New York,23rd,2013-2018,https://www.govtrack.us/congress/members/tom_reed/412393
Reichert,David,Representative,Washington,8th,2005-2018,https://www.govtrack.us/congress/members/david_reichert/400660
Renacci,James,Representative,Ohio,16th,2011-2018,https://www.govtrack.us/congress/members/james_renacci/412462
Rice,Kathleen,Representative,New York,4th,2015-2018,https://www.govtrack.us/congress/members/kathleen_rice/412647
Rice,Tom,Representative,South Carolina,7th,2013-2018,https://www.govtrack.us/congress/members/tom_rice/412572
Richmond,Cedric,Representative,Louisiana,2nd,2011-2018,https://www.govtrack.us/congress/members/cedric_richmond/412432
Risch,James,Senator,Idaho,0,2009-2020,https://www.govtrack.us/congress/members/james_risch/412322
Roberts,Pat,Senator,Kansas,0,1997-2020,https://www.govtrack.us/congress/members/pat_roberts/300083
Roby,Martha,Representative,Alabama,2nd,2011-2018,https://www.govtrack.us/congress/members/martha_roby/412394
Roe,David “Phil”,Representative,Tennessee,1st,2009-2018,https://www.govtrack.us/congress/members/david_roe/412310
Rogers,Harold “Hal”,Representative,Kentucky,5th,1981-2018,https://www.govtrack.us/congress/members/harold_rogers/400340
Rogers,Mike,Representative,Alabama,3rd,2003-2018,https://www.govtrack.us/congress/members/mike_rogers/400341
Rohrabacher,Dana,Representative,California,48th,2013-2018,https://www.govtrack.us/congress/members/dana_rohrabacher/400343
Rokita,Todd,Representative,Indiana,4th,2011-2018,https://www.govtrack.us/congress/members/todd_rokita/412426
Rooney,Francis,Representative,Florida,19th,2017-2018,https://www.govtrack.us/congress/members/francis_rooney/412699
Rooney,Thomas,Representative,Florida,17th,2013-2018,https://www.govtrack.us/congress/members/thomas_rooney/412311
Ros-Lehtinen,Ileana,Representative,Florida,27th,2013-2018,https://www.govtrack.us/congress/members/ileana_ros_lehtinen/400344
Rosen,Jacky,Representative,Nevada,3rd,2017-2018,https://www.govtrack.us/congress/members/jacky_rosen/412715
Roskam,Peter,Representative,Illinois,6th,2007-2018,https://www.govtrack.us/congress/members/peter_roskam/412202
Ross,Dennis,Representative,Florida,15th,2013-2018,https://www.govtrack.us/congress/members/dennis_ross/412411
Rothfus,Keith,Representative,Pennsylvania,12th,2013-2018,https://www.govtrack.us/congress/members/keith_rothfus/412570
Rounds,Mike,Senator,South Dakota,0,2015-2020,https://www.govtrack.us/congress/members/mike_rounds/412669
Rouzer,David,Representative,North Carolina,7th,2015-2018,https://www.govtrack.us/congress/members/david_rouzer/412641
Roybal-Allard,Lucille,Representative,California,40th,2013-2018,https://www.govtrack.us/congress/members/lucille_roybal_allard/400347
Royce,Edward “Ed”,Representative,California,39th,2013-2018,https://www.govtrack.us/congress/members/edward_royce/400348
Rubio,Marco,Senator,Florida,0,2011-2022,https://www.govtrack.us/congress/members/marco_rubio/412491
Ruiz,Raul,Representative,California,36th,2013-2018,https://www.govtrack.us/congress/members/raul_ruiz/412519
Ruppersberger,A. Dutch,Representative,Maryland,2nd,2003-2018,https://www.govtrack.us/congress/members/a_dutch_ruppersberger/400349
Rush,Bobby,Representative,Illinois,1st,1993-2018,https://www.govtrack.us/congress/members/bobby_rush/400350
Russell,Steve,Representative,Oklahoma,5th,2015-2018,https://www.govtrack.us/congress/members/steve_russell/412650
Rutherford,John,Representative,Florida,4th,2017-2018,https://www.govtrack.us/congress/members/john_rutherford/412692
Ryan,Paul,Representative,Wisconsin,1st,1999-2018,https://www.govtrack.us/congress/members/paul_ryan/400351
Ryan,Tim,Representative,Ohio,13th,2013-2018,https://www.govtrack.us/congress/members/tim_ryan/400352
Sablan,Gregorio,Senator,the Northern Mariana Islands,0,2009-2018,https://www.govtrack.us/congress/members/gregorio_sablan/412312
Sanders,Bernard “Bernie”,Senator,Vermont,0,2007-2018,https://www.govtrack.us/congress/members/bernard_sanders/400357
Sanford,Marshall “Mark”,Representative,South Carolina,1st,2013-2018,https://www.govtrack.us/congress/members/marshall_sanford/400607
Sarbanes,John,Representative,Maryland,3rd,2007-2018,https://www.govtrack.us/congress/members/john_sarbanes/412212
Sasse,Benjamin,Senator,Nebraska,0,2015-2020,https://www.govtrack.us/congress/members/benjamin_sasse/412671
Scalise,Steve,Representative,Louisiana,1st,2008-2018,https://www.govtrack.us/congress/members/steve_scalise/412261
Schakowsky,Janice “Jan”,Representative,Illinois,9th,1999-2018,https://www.govtrack.us/congress/members/janice_schakowsky/400360
Schatz,Brian,Senator,Hawaii,0,2012-2022,https://www.govtrack.us/congress/members/brian_schatz/412507
Schiff,Adam,Representative,California,28th,2013-2018,https://www.govtrack.us/congress/members/adam_schiff/400361
Schneider,Bradley,Representative,Illinois,10th,2017-2018,https://www.govtrack.us/congress/members/bradley_schneider/412534
Schrader,Kurt,Representative,Oregon,5th,2009-2018,https://www.govtrack.us/congress/members/kurt_schrader/412315
Schumer,Charles “Chuck”,Senator,New York,0,1999-2022,https://www.govtrack.us/congress/members/charles_schumer/300087
Schweikert,David,Representative,Arizona,6th,2013-2018,https://www.govtrack.us/congress/members/david_schweikert/412399
Scott,Austin,Representative,Georgia,8th,2011-2018,https://www.govtrack.us/congress/members/austin_scott/412417
Scott,David,Representative,Georgia,13th,2003-2018,https://www.govtrack.us/congress/members/david_scott/400363
Scott,Robert “Bobby”,Representative,Virginia,3rd,1993-2018,https://www.govtrack.us/congress/members/robert_scott/400364
Scott,Tim,Senator,South Carolina,0,2013-2022,https://www.govtrack.us/congress/members/tim_scott/412471
Sensenbrenner,James,Representative,Wisconsin,5th,2003-2018,https://www.govtrack.us/congress/members/james_sensenbrenner/400365
Serrano,José,Representative,New York,15th,2013-2018,https://www.govtrack.us/congress/members/jose_serrano/400366
Sessions,Pete,Representative,Texas,32nd,2003-2018,https://www.govtrack.us/congress/members/pete_sessions/400367
Sewell,Terri,Representative,Alabama,7th,2011-2018,https://www.govtrack.us/congress/members/terri_sewell/412396
Shaheen,Jeanne,Senator,New Hampshire,0,2009-2020,https://www.govtrack.us/congress/members/jeanne_shaheen/412323
Shea-Porter,Carol,Representative,New Hampshire,1st,2017-2018,https://www.govtrack.us/congress/members/carol_shea_porter/412219
Shelby,Richard,Senator,Alabama,0,1987-2022,https://www.govtrack.us/congress/members/richard_shelby/300089
Sherman,Brad,Representative,California,30th,2013-2018,https://www.govtrack.us/congress/members/brad_sherman/400371
Shimkus,John,Representative,Illinois,15th,2013-2018,https://www.govtrack.us/congress/members/john_shimkus/400373
Shuster,Bill,Representative,Pennsylvania,9th,2001-2018,https://www.govtrack.us/congress/members/bill_shuster/409888
Simpson,Michael “Mike”,Representative,Idaho,2nd,1999-2018,https://www.govtrack.us/congress/members/michael_simpson/400376
Sinema,Kyrsten,Representative,Arizona,9th,2013-2018,https://www.govtrack.us/congress/members/kyrsten_sinema/412509
Sires,Albio,Representative,New Jersey,8th,2013-2018,https://www.govtrack.us/congress/members/albio_sires/412186
Smith,Adam,Representative,Washington,9th,1997-2018,https://www.govtrack.us/congress/members/adam_smith/400379
Smith,Adrian,Representative,Nebraska,3rd,2007-2018,https://www.govtrack.us/congress/members/adrian_smith/412217
Smith,Christopher “Chris”,Representative,New Jersey,4th,1981-2018,https://www.govtrack.us/congress/members/christopher_smith/400380
Smith,Jason,Representative,Missouri,8th,2013-2018,https://www.govtrack.us/congress/members/jason_smith/412596
Smith,Lamar,Representative,Texas,21st,1987-2018,https://www.govtrack.us/congress/members/lamar_smith/400381
Smith,Tina,Senator,Minnesota,0,2018-2020,https://www.govtrack.us/congress/members/tina_smith/412742
Smucker,Lloyd,Representative,Pennsylvania,16th,2017-2018,https://www.govtrack.us/congress/members/lloyd_smucker/412722
Soto,Darren,Representative,Florida,9th,2017-2018,https://www.govtrack.us/congress/members/darren_soto/412695
Speier,Jackie,Representative,California,14th,2013-2018,https://www.govtrack.us/congress/members/jackie_speier/412259
Stabenow,Debbie,Senator,Michigan,0,2001-2018,https://www.govtrack.us/congress/members/debbie_stabenow/300093
Stefanik,Elise,Representative,New York,21st,2015-2018,https://www.govtrack.us/congress/members/elise_stefanik/412648
Stewart,Chris,Representative,Utah,2nd,2013-2018,https://www.govtrack.us/congress/members/chris_stewart/412581
Stivers,Steve,Representative,Ohio,15th,2011-2018,https://www.govtrack.us/congress/members/steve_stivers/412461
Sullivan,Dan,Senator,Alaska,0,2015-2020,https://www.govtrack.us/congress/members/dan_sullivan/412665
Suozzi,Thomas,Representative,New York,3rd,2017-2018,https://www.govtrack.us/congress/members/thomas_suozzi/412717
Swalwell,Eric,Representative,California,15th,2013-2018,https://www.govtrack.us/congress/members/eric_swalwell/412514
Sánchez,Linda,Representative,California,38th,2013-2018,https://www.govtrack.us/congress/members/linda_sanchez/400355
Takano,Mark,Representative,California,41st,2013-2018,https://www.govtrack.us/congress/members/mark_takano/412520
Taylor,Scott,Representative,Virginia,2nd,2017-2018,https://www.govtrack.us/congress/members/scott_taylor/412727
Tenney,Claudia,Representative,New York,22nd,2017-2018,https://www.govtrack.us/congress/members/claudia_tenney/412720
Tester,Jon,Senator,Montana,0,2007-2018,https://www.govtrack.us/congress/members/jon_tester/412244
Thompson,Bennie,Representative,Mississippi,2nd,1993-2018,https://www.govtrack.us/congress/members/bennie_thompson/400402
Thompson,Glenn,Representative,Pennsylvania,5th,2009-2018,https://www.govtrack.us/congress/members/glenn_thompson/412317
Thompson,Mike,Representative,California,5th,2013-2018,https://www.govtrack.us/congress/members/mike_thompson/400403
Thornberry,Mac,Representative,Texas,13th,1995-2018,https://www.govtrack.us/congress/members/mac_thornberry/400404
Thune,John,Senator,South Dakota,0,2005-2022,https://www.govtrack.us/congress/members/john_thune/400546
Tillis,Thom,Senator,North Carolina,0,2015-2020,https://www.govtrack.us/congress/members/thom_tillis/412668
Tipton,Scott,Representative,Colorado,3rd,2011-2018,https://www.govtrack.us/congress/members/scott_tipton/412405
Titus,Dina,Representative,Nevada,1st,2013-2018,https://www.govtrack.us/congress/members/dina_titus/412318
Tonko,Paul,Representative,New York,20th,2013-2018,https://www.govtrack.us/congress/members/paul_tonko/412319
Toomey,Patrick “Pat”,Senator,Pennsylvania,0,2011-2022,https://www.govtrack.us/congress/members/patrick_toomey/400408
Torres,Norma,Representative,California,35th,2015-2018,https://www.govtrack.us/congress/members/norma_torres/412617
Trott,Dave,Representative,Michigan,11th,2015-2018,https://www.govtrack.us/congress/members/dave_trott/412636
Tsongas,Niki,Representative,Massachusetts,3rd,2013-2018,https://www.govtrack.us/congress/members/niki_tsongas/412254
Turner,Michael,Representative,Ohio,10th,2013-2018,https://www.govtrack.us/congress/members/michael_turner/400411
Udall,Tom,Senator,New Mexico,0,2009-2020,https://www.govtrack.us/congress/members/tom_udall/400413
Upton,Fred,Representative,Michigan,6th,1993-2018,https://www.govtrack.us/congress/members/fred_upton/400414
Valadao,David,Representative,California,21st,2013-2018,https://www.govtrack.us/congress/members/david_valadao/412515
Van Hollen,Chris,Senator,Maryland,0,2017-2022,https://www.govtrack.us/congress/members/chris_van_hollen/400415
Vargas,Juan,Representative,California,51st,2013-2018,https://www.govtrack.us/congress/members/juan_vargas/412522
Veasey,Marc,Representative,Texas,33rd,2013-2018,https://www.govtrack.us/congress/members/marc_veasey/412579
Vela,Filemon,Representative,Texas,34th,2013-2018,https://www.govtrack.us/congress/members/filemon_vela/412580
Velázquez,Nydia,Representative,New York,7th,2013-2018,https://www.govtrack.us/congress/members/nydia_velazquez/400416
Visclosky,Peter,Representative,Indiana,1st,1985-2018,https://www.govtrack.us/congress/members/peter_visclosky/400417
Wagner,Ann,Representative,Missouri,2nd,2013-2018,https://www.govtrack.us/congress/members/ann_wagner/412548
Walberg,Tim,Representative,Michigan,7th,2011-2018,https://www.govtrack.us/congress/members/tim_walberg/412213
Walden,Greg,Representative,Oregon,2nd,1999-2018,https://www.govtrack.us/congress/members/greg_walden/400419
Walker,Mark,Representative,North Carolina,6th,2015-2018,https://www.govtrack.us/congress/members/mark_walker/412670
Walorski,Jackie,Representative,Indiana,2nd,2013-2018,https://www.govtrack.us/congress/members/jackie_walorski/412538
Walters,Mimi,Representative,California,45th,2015-2018,https://www.govtrack.us/congress/members/mimi_walters/412618
Walz,Timothy,Representative,Minnesota,1st,2007-2018,https://www.govtrack.us/congress/members/timothy_walz/412214
Warner,Mark,Senator,Virginia,0,2009-2020,https://www.govtrack.us/congress/members/mark_warner/412321
Warren,Elizabeth,Senator,Massachusetts,0,2013-2018,https://www.govtrack.us/congress/members/elizabeth_warren/412542
Wasserman Schultz,Debbie,Representative,Florida,23rd,2013-2018,https://www.govtrack.us/congress/members/debbie_wasserman_schultz/400623
Waters,Maxine,Representative,California,43rd,2013-2018,https://www.govtrack.us/congress/members/maxine_waters/400422
Watson Coleman,Bonnie,Representative,New Jersey,12th,2015-2018,https://www.govtrack.us/congress/members/bonnie_watson_coleman/412644
Weber,Randy,Representative,Texas,14th,2013-2018,https://www.govtrack.us/congress/members/randy_weber/412574
