last_name,first_name,Title,State,district,years_served,link
Butterfield,George “G.K.”,Representative,North Carolina,1st,2004-2018,https://www.govtrack.us/congress/members/george_butterfield/400616
Byrne,Bradley,Representative,Alabama,1st,2014-2018,https://www.govtrack.us/congress/members/bradley_byrne/412601
Calvert,Ken,Representative,California,42nd,2013-2018,https://www.govtrack.us/congress/members/ken_calvert/400057
Cantwell,Maria,Senator,Washington,0,2001-2018,https://www.govtrack.us/congress/members/maria_cantwell/300018
Capito,Shelley,Senator,West Virginia,0,2015-2020,https://www.govtrack.us/congress/members/shelley_capito/400061
Capuano,Michael,Representative,Massachusetts,7th,2013-2018,https://www.govtrack.us/congress/members/michael_capuano/400063
Carbajal,Salud,Representative,California,24th,2017-2018,https://www.govtrack.us/congress/members/salud_carbajal/412686
Cardin,Benjamin,Senator,Maryland,0,2007-2018,https://www.govtrack.us/congress/members/benjamin_cardin/400064
Carper,Thomas,Senator,Delaware,0,2001-2018,https://www.govtrack.us/congress/members/thomas_carper/300019
Carson,André,Representative,Indiana,7th,2008-2018,https://www.govtrack.us/congress/members/andre_carson/412258
Carter,Buddy,Representative,Georgia,1st,2015-2018,https://www.govtrack.us/congress/members/buddy_carter/412622
Carter,John,Representative,Texas,31st,2003-2018,https://www.govtrack.us/congress/members/john_carter/400068
Cartwright,Matthew,Representative,Pennsylvania,17th,2013-2018,https://www.govtrack.us/congress/members/matthew_cartwright/412571
Casey,Robert “Bob”,Senator,Pennsylvania,0,2007-2018,https://www.govtrack.us/congress/members/robert_casey/412246
Cassidy,Bill,Senator,Louisiana,0,2015-2020,https://www.govtrack.us/congress/members/bill_cassidy/412269
Castor,Kathy,Representative,Florida,14th,2013-2018,https://www.govtrack.us/congress/members/kathy_castor/412195
Castro,Joaquin,Representative,Texas,20th,2013-2018,https://www.govtrack.us/congress/members/joaquin_castro/412576
Chabot,Steve,Representative,Ohio,1st,2011-2018,https://www.govtrack.us/congress/members/steve_chabot/400071
Cheney,Liz,Representative,Wyoming,0,2017-2018,https://www.govtrack.us/congress/members/liz_cheney/412732
Chu,Judy,Representative,California,27th,2013-2018,https://www.govtrack.us/congress/members/judy_chu/412379
Cicilline,David,Representative,Rhode Island,1st,2011-2018,https://www.govtrack.us/congress/members/david_cicilline/412470
Clark,Katherine,Representative,Massachusetts,5th,2013-2018,https://www.govtrack.us/congress/members/katherine_clark/412600
Clarke,Yvette,Representative,New York,9th,2013-2018,https://www.govtrack.us/congress/members/yvette_clarke/412221
Clay,Lacy,Representative,Missouri,1st,2001-2018,https://www.govtrack.us/congress/members/lacy_clay/400074
Cleaver,Emanuel,Representative,Missouri,5th,2005-2018,https://www.govtrack.us/congress/members/emanuel_cleaver/400639
Clyburn,James “Jim”,Representative,South Carolina,6th,1993-2018,https://www.govtrack.us/congress/members/james_clyburn/400075
Coffman,Mike,Representative,Colorado,6th,2009-2018,https://www.govtrack.us/congress/members/mike_coffman/412271
Cohen,Steve,Representative,Tennessee,9th,2007-2018,https://www.govtrack.us/congress/members/steve_cohen/412236
Cole,Tom,Representative,Oklahoma,4th,2003-2018,https://www.govtrack.us/congress/members/tom_cole/400077
Collins,Chris,Representative,New York,27th,2013-2018,https://www.govtrack.us/congress/members/chris_collins/412563
Collins,Doug,Representative,Georgia,9th,2013-2018,https://www.govtrack.us/congress/members/doug_collins/412531
